Title,LastName,PreferredName,Electorate,State,PartyAbb,Minister,Position,House,EOAddress,POAddress,MinAddress,Phone,MinPhone,Fax,Email,Web,LastUpdated
Mr,Grimley,Stuart,Western Victoria,Vic,DHJP,,,Legislative Council,"Tenancy One, 15 Pearl Street, Torquay, VIC, 3228","PO Box 12, Torquay, VIC, 3228",,(03) 5218 5001,,,Stuart.Grimley@parliament.vic.gov.au,"https://www.facebook.com/StuartGrimleyMP/, https://www.twitter.com/stuartgrimleyMP, https://stuartgrimley.com/, https://www.instagram.com/stuartgrimleymp/?hl=en",08/07/2021
Ms,Maxwell,Tania,Northern Victoria,Vic,DHJP,,,Legislative Council,"Suite 2, 27-29 Faithfull Street, Wangaratta, VIC, 3677","PO Box 994, Rural City of Wangaratta, VIC, 3676",,(03) 4700 1787,,,Tania.Maxwell@parliament.vic.gov.au,"https://www.facebook.com/taniamaxwellMP, https://twitter.com/taniamaxwellMP, http://taniamaxwell.com.au/, https://www.instagram.com/taniamaxwellMP",06/07/2021
Dr,Kieu,Tien,South Eastern Metropolitan,Vic,ALP,,,Legislative Council,"141 Westall Road, Clayton South, VIC, 3169",,,(03) 7501 8688,,,Tien.Kieu@parliament.vic.gov.au,https://www.facebook.com/TienKieuMP/,28/06/2021
Ms,Stitt,Ingrid,Western Metropolitan,Vic,ALP,"Minister for Workplace Safety, Minister for Early Childhood",,Legislative Council,"Tenancy 2, 80 Carmody Drive, Cairnlea, VIC, 3023",,"Level 22, 50 Lonsdale Street, Melbourne, VIC, 3000",(03) 9363 1644,(03) 9136 2444,,Ingrid.Stitt@parliament.vic.gov.au,"https://www.facebook.com/IngridStittMP/, https://www.twitter.com/IngridStitt",28/06/2021
Dr,Cumming,Catherine,Western Metropolitan,Vic,Ind,,,Legislative Council,"75 Victoria Street, Seddon, VIC, 3011",,,(03) 9689 6373,,,Catherine.Cumming@parliament.vic.gov.au,"https://www.facebook.com/crcumming1/, https://www.twitter.com/crcumming1",28/06/2021
Ms,Terpstra,Sonja,Eastern Metropolitan,Vic,ALP,,,Legislative Council,"56 Beetham Parade, Rosanna, VIC, 3084",,,(03) 9803 0592,,,Sonja.Terpstra@parliament.vic.gov.au,"https://www.facebook.com/SonjaTerpstraMP/, https://www.twitter.com/TerpsMLC, https://sonjaterpstramp.com.au/",28/06/2021
Ms,Vaghela,Kaushaliya,Western Metropolitan,Vic,ALP,,,Legislative Council,"Shop 3, 1-13 Watton Street, Werribee, VIC, 3030",,,(03) 8742 3226,,,Kaushaliya.Vaghela@parliament.vic.gov.au,"https://www.facebook.com/KaushaliyaVaghelaMP/, https://twitter.com/kaushaliyamp, http://kaushaliyavaghela.com.au",28/06/2021
Mr,Barton,Rodney,Eastern Metropolitan,Vic,TM,,,Legislative Council,"128 Ayr Street, Doncaster, VIC, 3108",,,(03) 9850 8600,,,Rod.Barton@parliament.vic.gov.au,"https://rodbarton.com.au, https://www.facebook.com/RodBartonMP/, https://twitter.com/rodbarton4",12/07/2021
Mr,Quilty,Tim,Northern Victoria,Vic,LD,,,Legislative Council,"Shop 3 / 135 High Street, Wodonga, VIC, 3690",,,(02) 6048 6288,,,Tim.Quilty@parliament.vic.gov.au,"https://www.ldp.org.au/, https://www.facebook.com/TimQuiltyMLCNorthVic/",28/06/2021
Mr,Limbrick,David,South Eastern Metropolitan,Vic,LD,,,Legislative Council,"Suite 1, 1174 Nepean Highway, Cheltenham, VIC, 3192",,,(03) 9584 4013,,,David.Limbrick@parliament.vic.gov.au,"https://www.facebook.com/davidlimbrickldp, http://www.ldp.org.au",28/06/2021
Ms,Taylor,Nina,Southern Metropolitan,Vic,ALP,,Government Whip in the Legislative Council,Legislative Council,"306 Bay Street, Port Melbourne, VIC, 3207",,,(03) 9681 9555,,,Nina.Taylor@parliament.vic.gov.au,,28/06/2021
Mr,Hayes,Clifford,Southern Metropolitan,Vic,SA,,,Legislative Council,"206-208 Bay Street, Brighton, VIC, 3186",,,(03) 9530 8399,,,Clifford.Hayes@parliament.vic.gov.au,"www.cliffordhayes.com.au, www.facebook.com/CliffordHayesMP/",28/06/2021
Mrs,McArthur,Bev,Western Victoria,Vic,LP,Shadow Assistant Minister for Scrutiny of Government,,Legislative Council,"Suite 5, 400-404 Pakington Street, Geelong, VIC, 3220",,,(03) 4245 4430,,,Beverley.McArthur@parliament.vic.gov.au,"https://twitter.com/beverleymcarth2 , https://www.facebook.com/BevMcArthurMP/, www.bevmcarthur.com",13/09/2021
Mr,Meddick,Andy,Western Victoria,Vic,AJP,,,Legislative Council,"69A Gheringhap Street, Geelong, VIC, 3220",,,(03) 5222 1941,,,Andy.Meddick@parliament.vic.gov.au,"www.ajpvic.org.au, https://twitter.com/andymeddickmp, https://www.facebook.com/AndyMeddickMP/",11/08/2021
Mr,Erdogan,Enver,Southern Metropolitan,Vic,ALP,,,Legislative Council,"55 St Andrews Place, Suite 2, Level 2, East Melbourne, VIC, 3002",,,(03) 9557 1500,,,enver.erdogan@parliament.vic.gov.au,,28/06/2021
Dr,Bach,Matthew,Eastern Metropolitan,Vic,LP,"Shadow Minister for Early Childhood, Shadow Minister for Higher Education, Training and Skills, Shadow Minister for Youth Affairs, Shadow Minister for Children and Students, Shadow Minister for Child Protection and Youth Justice",Shadow Cabinet Secretary,Legislative Council,"Suite 1, 10-12 Blackburn Road, Blackburn, VIC, 3130",,,(03) 9878 4113,,(03) 9878 9135,matthew.bach@parliament.vic.gov.au,,13/09/2021
Ms,Watt,Sheena,Northern Metropolitan,Vic,ALP,,,Legislative Council,"Suite 1, Level 2, 55 St Andrews Place, East Melbourne , East Melbourne, VIC, 3002",,,(03) 9462 3966,,,sheena.watt@parliament.vic.gov.au,,28/06/2021
